molecule,method,n_layers,n_parameters,mean_grad_var,std_grad_var,mean_grad_norm,std_grad_norm,n_qubits,runtime_s
H2,efficient_su2,30,248,0.009926952113703624,0.0018819030308695783,1.4736491068984088,0.1914309986432818,4,3.2389453999930993
H2,efficient_su2,31,256,0.010987592404852753,0.0017425712691620649,1.485364451387048,0.20697029638896017,4,3.3942438000813127
H2,efficient_su2,32,264,0.011137810055941187,0.0018579826366649035,1.5471331480217683,0.20659346936254724,4,3.421195200062357
H2,efficient_su2,33,272,0.009319472330599566,0.0017809571843764515,1.5528547457323543,0.21469603081178465,4,3.5523435999639332
H2,efficient_su2,34,280,0.0075249042574256205,0.0016356710179671484,1.5212555494885387,0.18940104570709926,4,3.6441004999214783
H2,efficient_su2,35,288,0.00970664919909102,0.001703895277843501,1.6103588522622685,0.20068457327713335,4,3.7478392000775784
H2,efficient_su2,36,296,0.008005843549293911,0.0017139388231985735,1.5790572975228667,0.21691535443875878,4,3.79422959999647
H2,efficient_su2,37,304,0.010486674803334841,0.0016451831490039732,1.6226559571313093,0.20834273037336365,4,3.9112963000079617
H2,efficient_su2,38,312,0.0070441051781260115,0.0016390962189974491,1.652779074124808,0.21608206508950487,4,4.028233299963176
H2,efficient_su2,39,320,0.009838991403498771,0.00171094848236173,1.6658643131337922,0.22252797824729525,4,4.110847500036471
H2,efficient_su2,40,328,0.009377677908294538,0.001599243751166705,1.6608014353731269,0.18873437898727025,4,4.266098599997349
H2,efficient_su2,41,336,0.010022392306577754,0.0017921307820502224,1.7642841507364337,0.235038293224955,4,4.284032099996693
H2,efficient_su2,42,344,0.009778411224566642,0.0018188728325800319,1.7708059185331624,0.22890878351534266,4,4.429016200010665
H2,efficient_su2,43,352,0.008665136609988197,0.0016452902805604705,1.769823886140825,0.21709092349229522,4,4.551172700012103
H2,efficient_su2,44,360,0.009258389960308238,0.0017188614611706404,1.830084891165518,0.22048211493870362,4,4.648161499993876
H2,efficient_su2,45,368,0.009615553063466035,0.0016049863192176745,1.7892393313037465,0.22994710483486272,4,4.770048199919984
H2,efficient_su2,46,376,0.010659250585742137,0.001645657735040664,1.8046185025308503,0.24428086357089662,4,4.815672799944878
H2,efficient_su2,47,384,0.009380247384017278,0.0016458920219070998,1.8344707667990972,0.2476341509997658,4,4.95469659997616
H2,efficient_su2,48,392,0.008466697084628116,0.0016551613959348496,1.8641010755227063,0.2497741209539117,4,5.115442199981771
H2,efficient_su2,49,400,0.009100257263255935,0.0016232861263600796,1.8420397371502164,0.2437708727928781,4,5.435777400038205
H2,efficient_su2,50,408,0.009012817711118733,0.0015729001456834136,1.9273200871414076,0.21959658925532186,4,5.323878600029275
